State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Description,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,25th Percentile,75th Percentile,Notes,Source
New Mexico,Primary Care Access and Preventive Care,Child Core Set,Human Papillomavirus Vaccine for Female Adolescents,HPV-CH,Percentage Receiving Three Vaccine Doses Before Age 13,2015,Medicaid & CHIP,Administrative & Hybrid,22,36,20.8,14.5,23.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Florida,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2015,Medicaid & CHIP,Administrative,27.1,33,24.3,22.1,34,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2015,Medicaid only,Administrative,9.4,37,48,35.5,53.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
New York,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2015,Medicaid & CHIP,Administrative,65.6,45,60.1,49.2,67,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Massachusetts,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2015,Medicaid only,Administrative,51.6,51,47.4,40.1,50,,"Mathematica analysis of FFY 2015 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b."
Delaware,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2015,Medicaid & CHIP,Administrative,66.7,45,60.1,49.2,67,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Oklahoma,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2015,Medicaid & CHIP,Administrative,38.5,33,25,22.7,35.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Pennsylvania,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2015,Medicaid & CHIP,Administrative,27.9,37,48,35.5,53.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
California,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2015,Medicaid & CHIP,Administrative,49.2,37,59,44.4,64.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Massachusetts,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less Than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2015,Medicaid & CHIP,Administrative,8.2,25,8.9,8.1,10.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Montana,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2015,CHIP only,Administrative,72.5,45,88,84.9,89.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Illinois,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2015,Medicaid & CHIP,Administrative,88.2,44,90,86.2,91.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Arizona,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2015,Medicaid only,Administrative,65.5,47,66.9,57.3,75.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
New Hampshire,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid only,Hybrid,61.6,46,45.5,37.8,56,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Michigan,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less Than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2015,Medicaid only,Administrative,10.1,25,8.9,8.1,10.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Tennessee,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year Old Children at Elevated Caries Risk,SEAL-CH,Percentage Who Received a Sealant on a First Permanent Molar,2015,CHIP only,Administrative,24.8,25,23.4,18.1,25.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Rhode Island,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2015,Medicaid & CHIP,Administrative,60.1,37,59,44.4,64.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Illinois,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Administrative,45,46,45.5,37.8,56,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Pennsylvania,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 19-20 Years,2015,Medicaid only,Administrative,,16,27.9,22.6,36.2,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Delaware,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2015,Medicaid & CHIP,Administrative,68.1,37,59,44.4,64.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
North Carolina,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less Than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2015,Medicaid only,Administrative,10.7,25,8.9,8.1,10.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Florida,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Administrative & Hybrid,57.3,47,66.9,57.3,75.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
New Jersey,Primary Care Access and Preventive Care,Child Core Set,Immunization Status for Adolescents,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1),2015,Medicaid & CHIP,Hybrid,85.7,38,67.4,56.8,78.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Alabama,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2015,CHIP only,Administrative,91.8,45,88,84.9,89.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
New York,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 19-20 Years,2015,Medicaid & CHIP,Administrative,23,16,27.9,22.6,36.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Louisiana,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Administrative,38.1,46,45.5,37.8,56,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Alaska,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2015,Medicaid & CHIP,Administrative,59.3,37,48,35.5,53.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Colorado,Primary Care Access and Preventive Care,Child Core Set,Immunization Status for Adolescents,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1),2015,Medicaid & CHIP,Administrative,62.5,38,67.4,56.8,78.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Maryland,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women,CHL-CH,Percentage of Sexually Active Women Screened: 16-20,2015,Medicaid & CHIP,Administrative,59.4,41,47.6,43,53.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Texas,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 19-20 Years,2015,CHIP only,Administrative,,16,27.9,22.6,36.2,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Colorado,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2015,Medicaid & CHIP,Administrative,33.8,37,59,44.4,64.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Georgia,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2015,Medicaid & CHIP,Administrative,35.5,37,48,35.5,53.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Indiana,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2015,Medicaid & CHIP,Administrative,91,44,90,86.2,91.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Alabama,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 7 Days: 6-20,2015,Medicaid only,NR,,33,45.7,32.7,67,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Idaho,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2015,Medicaid & CHIP,Administrative,67.3,44,90,86.2,91.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Massachusetts,Primary Care Access and Preventive Care,Child Core Set,Human Papillomavirus Vaccine for Female Adolescents,HPV-CH,Percentage Receiving Three Vaccine Doses Before Age 13,2015,Medicaid & CHIP,Hybrid,21.1,36,20.8,14.5,23.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Iowa,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2015,CHIP only,Administrative,94,44,91.5,87.9,93.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Pennsylvania,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2015,Medicaid only,Hybrid,83.8,37,82,75.5,85.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Arkansas,Primary Care Access and Preventive Care,Child Core Set,Immunization Status for Adolescents,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1),2015,Medicaid & CHIP,Hybrid,35.4,38,67.4,56.8,78.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
South Carolina,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less Than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2015,Medicaid & CHIP,Administrative,10.9,25,8.9,8.1,10.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Georgia,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2015,Medicaid only,Administrative,51.7,51,47.4,40.1,50,,"Mathematica analysis of FFY 2015 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b."
North Carolina,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 7 Days: 6-20,2015,Medicaid only,Administrative,38.2,33,45.7,32.7,67,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Iowa,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2015,Medicaid only,Administrative,38.1,37,59,44.4,64.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Kentucky,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women,CHL-CH,Percentage of Sexually Active Women Screened: 16-20,2015,Medicaid & CHIP,Administrative,48.9,41,47.6,43,53.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
New Hampshire,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care ,FPC-CH,Percentage with More Than 80 Percent of Expected Prenatal Visits,2015,Medicaid only,Hybrid,72.2,29,64.4,57,71,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Mississippi,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 19-20 Years,2015,CHIP only,Administrative,,16,27.9,22.6,36.2,# = Rate not reported because denominator is less than 30,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Ohio,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2015,Medicaid & CHIP,Administrative & Hybrid,83.9,37,82,75.5,85.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Rhode Island,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3),2015,Medicaid & CHIP,Hybrid,81.9,39,67.1,63.4,73.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Maine,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women,CHL-CH,Percentage of Sexually Active Women Screened: 16-20,2015,Medicaid & CHIP,Administrative,38.8,41,47.6,43,53.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Nebraska,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2015,Medicaid & CHIP,Administrative,27.1,33,24.3,22.1,34,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Alabama,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2015,CHIP only,Administrative,22.6,33,24.3,22.1,34,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Tennessee,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2015,CHIP only,Administrative,25.5,39,44.2,37.8,51.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Michigan,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2015,Medicaid only,Administrative,91.1,44,91.5,87.9,93.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Georgia,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 19-20 Years,2015,Medicaid & CHIP,Administrative,29.6,16,27.9,22.6,36.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Massachusetts,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2015,Medicaid & CHIP,Administrative,22.1,33,24.3,22.1,34,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Maryland,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2015,Medicaid & CHIP,Administrative,27.4,37,48,35.5,53.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
New Mexico,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3),2015,Medicaid & CHIP,Hybrid,71.7,39,67.1,63.4,73.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Louisiana,Primary Care Access and Preventive Care,Child Core Set,Body Mass Index Assessment for Children and Adolescents,WCC-CH,Percentage with a BMI Percentile Documented: 3-17,2015,Medicaid & CHIP,Hybrid,29.9,33,53,21,68.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Delaware,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Hybrid,50.2,46,45.5,37.8,56,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Rhode Island,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2015,Medicaid & CHIP,Administrative,95.7,44,90,86.2,91.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Tennessee,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2015,CHIP only,Administrative,78.3,34,71.8,58.7,78.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Louisiana,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2015,Medicaid & CHIP,Administrative,48.5,37,48,35.5,53.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
New York,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 12-18 Years,2015,Medicaid & CHIP,Administrative,24.1,32,24.1,21.3,34,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Missouri,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Hybrid,45.9,46,45.5,37.8,56,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Texas,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 19-20 Years,2015,Medicaid only,Administrative,,16,27.9,22.6,36.2,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Alaska,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Administrative,30.6,46,45.5,37.8,56,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
North Carolina,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2015,Medicaid & CHIP,Administrative,21.3,33,24.3,22.1,34,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
New Jersey,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 12-18 Years,2015,Medicaid & CHIP,Administrative,23.3,32,24.1,21.3,34,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Indiana,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2015,Medicaid & CHIP,Hybrid,72.9,45,60.1,49.2,67,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Kentucky,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 12-24 months,2015,Medicaid & CHIP,Administrative,97.5,45,95.2,93.2,97,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Tennessee,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2015,Medicaid only,Hybrid,80.2,37,82,75.5,85.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Rhode Island,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 19-20 Years,2015,Medicaid & CHIP,Administrative,,16,27.9,22.6,36.2,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Iowa,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2015,Medicaid only,Administrative,91.9,45,88,84.9,89.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Alabama,Primary Care Access and Preventive Care,Child Core Set,Body Mass Index Assessment for Children and Adolescents,WCC-CH,Percentage with a BMI Percentile Documented: 3-17,2015,Medicaid only,Administrative,0.1,33,53,21,68.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Missouri,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2015,Medicaid & CHIP,Administrative,64.3,39,44.2,37.8,51.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Pennsylvania,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2015,Medicaid & CHIP,Administrative,92.3,44,91.5,87.9,93.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
New Jersey,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women,CHL-CH,Percentage of Sexually Active Women Screened: 16-20,2015,Medicaid & CHIP,Administrative,46.6,41,47.6,43,53.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Texas,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2015,CHIP only,Administrative,43,37,48,35.5,53.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Iowa,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 7 Days: 6-20,2015,Medicaid only,Administrative,71.5,33,45.7,32.7,67,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Connecticut,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Hybrid,66.6,46,45.5,37.8,56,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Maine,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 7 Days: 6-20,2015,Medicaid & CHIP,Administrative,75,33,45.7,32.7,67,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
South Carolina,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care ,FPC-CH,Percentage with More Than 80 Percent of Expected Prenatal Visits,2015,Medicaid & CHIP,Administrative,66.2,29,64.4,57,71,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
New Hampshire,Primary Care Access and Preventive Care,Child Core Set,Human Papillomavirus Vaccine for Female Adolescents,HPV-CH,Percentage Receiving Three Vaccine Doses Before Age 13,2015,Medicaid only,Hybrid,19.6,36,20.8,14.5,23.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Idaho,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 19-20 Years,2015,Medicaid & CHIP,Administrative,,16,27.9,22.6,36.2,# = Rate not reported because denominator is less than 30,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Kentucky,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2015,Medicaid & CHIP,Administrative,51,37,48,35.5,53.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Nevada,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less Than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2015,Medicaid & CHIP,Administrative,9.5,25,8.9,8.1,10.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Arizona,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2015,Medicaid only,Administrative,46.6,51,47.4,40.1,50,,"Mathematica analysis of FFY 2015 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b."
Iowa,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 19-20 Years,2015,CHIP only,Administrative,,16,27.9,22.6,36.2,NR = State did not report the measure for this population,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Maryland,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2015,Medicaid & CHIP,Administrative,91.5,44,90,86.2,91.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
Oklahoma,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 12-18 Years,2015,Medicaid & CHIP,Administrative,35,32,24.1,21.3,34,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
South Carolina,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2015,Medicaid & CHIP,Administrative,82.1,45,88,84.9,89.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.
