State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Rate Definition,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,Bottom Quartile,Top Quartile,Notes,State Specific Comments,Source,Location
Oklahoma,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 6-20,2017,Medicaid & CHIP,Administrative,49.4,45,69.2,62.5,79.6,,Rates include FFS and PCCM populations.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Oklahoma
(35.583449, -97.508297)"
Maryland,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 12-19 Years,2017,Medicaid & CHIP,Administrative,93.3,48,90.1,86.2,92.9,,"Rates include managed care population (8 MCOs), representing 95 percent of the population. Rates exclude FFS population, representing 5 percent of the population. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Maryland
(38.946466, -76.687282)"
Arizona,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 6-20,2017,Medicaid only,Administrative,63.3,44,47.8,39.7,64,,"Rates include managed care population (1 MCO), representing 92 percent of the population. Rates exclude FFS population, representing 8 percent of the population. Rates include services provided by Regional Health Centers, Behavioral Health Outpatient Clinics, Integrated Clinics, and Federally Qualified Health Centers. State conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Arizona
(34.293239, -111.664616)"
Kentucky,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2017,Medicaid & CHIP,Hybrid,65.3,41,67.9,54.6,72.8,,"Rate includes managed care population (5 MCOs), representing 95 percent of the population. Rate excludes FFS population, representing 5 percent of the population. Denominator is the sample size; measure-eligible population is 25,446. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Kentucky
(37.526683, -85.290484)"
Delaware,Behavioral Health Care,Child Core Set,Use of Multiple Concurrent Antipsychotics in Children and Adolescents: Ages 1-17,APC-CH,Percentage on Two or More Concurrent Antipsychotic Medications: Ages 1-17,2017,Medicaid & CHIP,Administrative,1.1,37,2.7,3.6,1.6,,"Rate includes managed care population (2 MCOs), representing 94 percent of the population. Rate excludes FFS population, representing 6 percent of the population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Delaware
(38.994926, -75.452394)"
Missouri,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits: Ages 12-21,AWC-CH,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or an Obstetrical/Gynecological Practitioner: Ages 12-21,2017,Medicaid & CHIP,Hybrid,46.5,49,44.7,37.9,55.7,,"Rate includes managed care population (3 MCOs), representing 63 percent of the Medicaid population and 40 percent of the CHIP population. Rate excludes FFS population, representing 37 percent of the Medicaid population and 60 percent of the CHIP population. Denominator is the sample size; measure-eligible population is 107,044.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Missouri
(38.3675, -92.477244)"
Montana,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 12-19 Years,2017,CHIP only,Administrative,77.0,48,90.1,86.2,92.9,,Rates include FFS population. Rates exclude services provided by Federally Qualified Health Centers and Rural Health Clinics because these services are processed separately.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Montana
(47.033521, -109.645127)"
North Carolina,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents - Body Mass Index Assessment for Children/Adolescents: Ages 3-17,WCC-CH,Percentage who had an Outpatient Visit with a Primary Care Practitioner or Obstetrical/Gynecological Practitioner who had Body Mass Index Percentile Documented in the Medical Record: Ages 3-17,2017,CHIP only,Administrative,28.3,37,61.1,28.8,74.5,,CHIP rate includes FFS and PCCM populations.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","North Carolina
(35.52603, -79.130883)"
Maine,Primary Care Access and Preventive Care,Child Core Set,Developmental Screening in the First Three Years of Life: Ages 0-3,DEV-CH,"Percentage Screened for Risk of Developmental, Behavioral, and Social Delays Using a Standardized Screening Tool: Ages 0-3",2017,Medicaid & CHIP,Administrative,29.6,27,39.8,17.8,53.9,,Rate includes FFS population.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Maine
(45.117911, -69.06137)"
Michigan,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2017,Medicaid only,Hybrid,81.6,39,81.6,75.6,87.4,,"Rate includes managed care population (11 MCOs), representing 78 percent of the population. Rate excludes FFS population, representing 22 percent of the population. Denominator is the sample size; measure-eligible population is 32,004. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Michigan
(44.874798, -85.730977)"
Louisiana,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness: Ages 6-20,FUH-CH,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 6-20,2017,Medicaid & CHIP,Administrative,61.5,45,69.2,62.5,79.6,,Rates include FFS and managed care populations (5 MCOs). Rates were calculated using HEDIS-certified code and the state conducted an internal validation of the data.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Louisiana
(30.921314, -91.840238)"
Nevada,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life: Ages 3-6",W34-CH,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3-6,2017,CHIP only,Hybrid,71.3,50,66.7,58.2,76.1,,"CHIP rate includes managed care population (2 MCOs), representing 87 percent of the population. Rate excludes FFS population, representing 13 percent of the population. Denominator is the sample size; measure-eligible population is 2,418.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Nevada
(39.283294, -114.916992)"
North Carolina,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Year: Ages 12-24 Months,2017,CHIP only,Administrative,NR,48,95.2,93.3,96.6,NR = State did not report the measure for this population,"CHIP rates include FFS and PCCM populations. CHIP population includes children age 6 and older. As a result, the state did not report a CHIP rate for children ages 12 to 24 months and the 25 months to 6 years rate includes only children age 6. State attributes rate increases from FFY 2016 to PCCM involvement.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","North Carolina
(35.52603, -79.130883)"
Delaware,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 12-19 Years,2017,Medicaid & CHIP,Administrative,91.2,48,90.1,86.2,92.9,,"Rates include managed care population (2 MCOs), representing 94 percent of the population. Rates exclude FFS population, representing 6 percent of the population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Delaware
(38.994926, -75.452394)"
Maine,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 12-19 Years,2017,Medicaid & CHIP,Administrative,92.2,48,90.1,86.2,92.9,,Rates include FFS population.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Maine
(45.117911, -69.06137)"
Indiana,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits During the 10-Month Continuation and Maintenance Phase: Ages 6-12,2017,Medicaid & CHIP,Administrative,61.5,37,61.5,55,65.4,,"Rates include managed care population (3 MCOs), representing 87 percent of Medicaid children and 97 percent of CHIP children. Rates exclude FFS population, representing 10 percent of Medicaid children and 3 percent of CHIP children, and enrollees in a program for beneficiaries with disabilities who do not require a level of care in a nursing home or through a Section 1915(c) home- and community-based services waiver, representing 3 percent of Medicaid children. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Indiana
(39.919991, -86.2818)"
New York,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-20,2017,Medicaid & CHIP,Administrative,26.4,39,27.3,24.3,33,,"Rates include managed care population (19 MCOs), representing 89 percent of the Medicaid population and all CHIP children. Rates exclude FFS population, representing 11 percent of the Medicaid population. State conducted an internal validation of the data.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New York
(42.921241, -75.59655)"
Oklahoma,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits: Ages 12-21,AWC-CH,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or an Obstetrical/Gynecological Practitioner: Ages 12-21,2017,Medicaid & CHIP,Administrative,23.2,49,44.7,37.9,55.7,,Rate includes FFS and PCCM populations.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Oklahoma
(35.583449, -97.508297)"
New Hampshire,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2017,Medicaid only,Hybrid,88.1,39,81.6,75.6,87.4,,"Rate includes managed care population (2 MCOs), representing 91 percent of the population. Rate excludes FFS population, representing 9 percent of the population. Denominator is the sample size; measure-eligible population is 2,316. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Hampshire
(43.680429, -71.57139)"
Michigan,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2017,Medicaid only,Administrative,62.3,46,49.4,44.1,58.5,,"Rate includes managed care population (11 MCOs), representing 78 percent of the population. Rate excludes FFS population, representing 22 percent of the population. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Michigan
(44.874798, -85.730977)"
Nebraska,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 12-18,2017,Medicaid & CHIP,Administrative,31.4,40,26.9,24.1,32.2,,Rates include FFS and managed care populations (3 MCOs).,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Nebraska
(41.527099, -99.810595)"
New Mexico,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with 1 Follow-Up Visit During the 30-Day Initiation Phase: Ages 6-12,2017,Medicaid only,Administrative,50.3,37,50,42.1,55.3,,Rates include managed care population (4 MCOs). MCO rates were audited by certified HEDIS auditors.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Mexico
(34.421369, -106.108388)"
Louisiana,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage of Children who had 6 or More Well-Child Visits with a Primary Care Practitioner during the First 15 Months of Life,2017,Medicaid & CHIP,Administrative,52.0,49,59.3,55.7,66.1,,Rate includes FFS and managed care populations (5 MCOs). Rate was calculated using HEDIS-certified code and the state conducted an internal validation of the data.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Louisiana
(30.921314, -91.840238)"
Hawaii,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 12-19 Years,2017,Medicaid & CHIP,Administrative,88.1,48,90.1,86.2,92.9,,Rates include managed care population (5 MCOs). Rates were validated by the state's EQRO.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Hawaii
(21.361013, -157.854309)"
North Carolina,Primary Care Access and Preventive Care,Child Core Set,Developmental Screening in the First Three Years of Life: Ages 0-3,DEV-CH,"Percentage Screened for Risk of Developmental, Behavioral, and Social Delays Using a Standardized Screening Tool: Ages 0-3",2017,Medicaid only,Administrative,71.5,27,39.8,17.8,53.9,,Rate includes FFS and PCCM populations. State attributes higher rates to PCCM involvement.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","North Carolina
(35.52603, -79.130883)"
Nevada,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Meningococcal Conjugate and Tdap Vaccines (Combination 1) by their 13th Birthday,2017,Medicaid only,Hybrid,80.2,43,73.2,56.9,83,,"Medicaid rates include managed care population (2 MCOs), representing 77 percent of the population. Rates exclude FFS population, representing 23 percent of the population. Denominator is the sample size; measure-eligible population is 7,047.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Nevada
(39.283294, -114.916992)"
Alabama,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less Than 2,500 Grams",LBW-CH,"Percentage of Live Births that Weighed Less than 2,500 Grams",2017,Medicaid only,NR,NR,25,9,10.6,8.1,NR = State did not report the measure for this population,None,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Alabama
(32.756889, -86.844516)"
Georgia,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life: Ages 3-6",W34-CH,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3-6,2017,Medicaid & CHIP,Hybrid,66.4,50,66.7,58.2,76.1,,"Rate includes managed care population (3 MCOs), representing 96 percent of the population. Rate excludes FFS population and enrollees in one MCO that covers foster care, adoption assistance, and juvenile justice populations, representing 4 percent of the population. Denominator is the sample size; measure-eligible population is 231,401. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Georgia
(32.638481, -83.426574)"
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits During the 10-Month Continuation and Maintenance Phase: Ages 6-12,2017,CHIP only,Administrative,52.8,37,61.5,55,65.4,,CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates. State applied optional exclusion of children with a diagnosis of narcolepsy.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Alabama
(32.756889, -86.844516)"
Florida,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits During the 10-Month Continuation and Maintenance Phase: Ages 6-12,2017,Medicaid & CHIP,Administrative,61.8,37,61.5,55,65.4,,"Rates include FFS, PCCM, and managed care populations (21 MCOs). MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Florida
(28.260731, -82.420978)"
Colorado,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services: Ages 1-20,PDENT-CH,Percentage with at Least 1 Preventive Dental Service: Ages 1-20,2017,Medicaid only,Administrative,50.1,50,48.2,44.7,52.1,,None,"Mathematica analysis of FFY 2017 Form CMS-416 reports (annual EPSDT report), Lines 1b and 12b as of November 1, 2018.","Colorado
(38.998552, -105.547832)"
Mississippi,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Three Doses of Human Papillomavirus (HPV) Vaccine by Their 13th Birthday,2017,Medicaid only,Hybrid,6.0,42,20.8,13.3,24.8,,"Medicaid rates include managed care population (2 MCOs), representing 85 percent of the population. Rates exclude FFS population, representing 15 percent of the population. Denominator is the sample size; measure-eligible population is 12,400.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Mississippi
(32.713378, -89.65344)"
Illinois,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2017,Medicaid & CHIP,Administrative,57.3,39,81.6,75.6,87.4,,"Rate includes FFS, PCCM, integrated care model, and managed care populations (13 MCOs). State did not use LOINC codes. Rate excludes deliveries covered by bundled payments because they do not have the prenatal visit dates. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Illinois
(40.124144, -89.148632)"
Indiana,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Three Doses of Human Papillomavirus (HPV) Vaccine by Their 13th Birthday,2017,Medicaid & CHIP,Hybrid,20.2,42,20.8,13.3,24.8,,"Rates include managed care population (3 MCOs), representing 87 percent of Medicaid children and 97 percent of CHIP children. Rates exclude FFS population, representing 10 percent of Medicaid children and 3 percent of CHIP children, and enrollees in a program for beneficiaries with disabilities who do not require a level of care in a nursing home or through a Section 1915(c) home- and community-based services waiver, representing 3 percent of Medicaid children. Denominator is the sample size; measure-eligible population is 22,455. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Indiana
(39.919991, -86.2818)"
Connecticut,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits: Ages 12-21,AWC-CH,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or an Obstetrical/Gynecological Practitioner: Ages 12-21,2017,Medicaid & CHIP,Hybrid,69.7,49,44.7,37.9,55.7,,"Rate includes FFS population. Denominator is the sample size; measure-eligible population is 97,154. Rate was audited by a certified HEDIS auditor.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Connecticut
(41.575155, -72.738288)"
Alabama,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16-20,CHL-CH,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16-20,2017,CHIP only,Administrative,32.1,46,49.4,44.1,58.5,,CHIP rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rate.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Alabama
(32.756889, -86.844516)"
Arkansas,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 5-20,2017,Medicaid & CHIP,Administrative,23.3,39,27.3,24.3,33,,"Rates include FFS and PCCM populations. State applied diagnosis-related exclusions as far back as beneficiary history was available through January 1, 2012. Rates were audited by state data contractor.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Arkansas
(34.899825, -92.439162)"
Mississippi,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma: Ages 5-20,MMA-CH,Percentage with Persistent Asthma who were Dispensed Appropriate Medication and Remained on Medication for at Least 75 Percent of Treatment Period: Ages 12-18,2017,CHIP only,Administrative,24.4,40,26.9,24.1,32.2,,CHIP rates include managed care population (2 MCOs). Total rate includes children ages 5 to 18.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Mississippi
(32.713378, -89.65344)"
Iowa,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department (ED) Visits: Ages 0-19,AMB-CH,"Emergency Department Visits per 1,000 Enrollee Months: Ages 0-19",2017,CHIP only,Administrative,7.6,47,42.3,51.1,39.1,,CHIP rate includes FFS and managed care populations (3 MCOs). State transitioned to managed care during the measurement period and attributes rate change from FFY 2016 in part to disruption of data systems during the transition.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Iowa
(42.074659, -93.500061)"
Colorado,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents - Body Mass Index Assessment for Children/Adolescents: Ages 3-17,WCC-CH,Percentage who had an Outpatient Visit with a Primary Care Practitioner or Obstetrical/Gynecological Practitioner who had Body Mass Index Percentile Documented in the Medical Record: Ages 3-17,2017,Medicaid & CHIP,Administrative,9.2,37,61.1,28.8,74.5,,"Rate includes FFS, PCCM, and managed care populations (8 MCOs). MCO rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Colorado
(38.998552, -105.547832)"
California,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2017,Medicaid & CHIP,Hybrid,72.3,41,67.9,54.6,72.8,,"Rate includes managed care population (26 MCOs), representing 58 percent of the Medicaid population and 63 percent of the CHIP population. Rate excludes FFS population, representing 14 percent of the Medicaid population and 7 percent of the CHIP population, and managed care enrollees who were not in the same MCO for the entire continuous enrollment period, representing 32 percent of the population. Denominator is the sample size; measure-eligible population is 197,629.  Administrative data sources are MCO data systems and immunization registry. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","California
(37.211164, -119.662127)"
Nevada,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care,FPC-CH,Percentage of Women Delivering a Live Birth who had More Than 80 Percent of Expected Prenatal Visits,2017,Medicaid only,Hybrid,61.6,34,61.7,43.5,67,,"Rate includes managed care population (2 MCOs), representing 77 percent of the population. Rate excludes FFS population, representing 23 percent of the population. Denominator is the sample size; measure-eligible population is 10,367.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Nevada
(39.283294, -114.916992)"
Iowa,Maternal and Perinatal Health,Child Core Set,Prenatal and Postpartum Care: Timeliness of Prenatal Care,PPC-CH,Percentage of Women Delivering a Live Birth with a Prenatal Care Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2017,CHIP only,NR,NR,39,81.6,75.6,87.4,NR = State did not report the measure for this population,None,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Iowa
(42.074659, -93.500061)"
New Hampshire,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life: Ages 3-6",W34-CH,Percentage who had 1 or More Well-Child Visits with a Primary Care Practitioner: Ages 3-6,2017,Medicaid only,Hybrid,80.0,50,66.7,58.2,76.1,,"Rate includes managed care population (2 MCOs), representing 91 percent of the population. Rate excludes FFS population, representing 9 percent of the population. Denominator is the sample size; measure-eligible population is 15,722. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Hampshire
(43.680429, -71.57139)"
New Hampshire,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Three Doses of Human Papillomavirus (HPV) Vaccine by Their 13th Birthday,2017,Medicaid only,Hybrid,22.2,42,20.8,13.3,24.8,,"Rates include managed care population (2 MCOs), representing 91 percent of the population. Rates exclude FFS population, representing 9 percent of the population. Denominator is the sample size; measure-eligible population is 3,664. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Hampshire
(43.680429, -71.57139)"
Alabama,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Newly Prescribed Attention-Deficit/Hyperactivity Disorder (ADHD) Medication: Ages 6-12,ADD-CH,Percentage Newly Prescribed ADHD Medication with at Least 2 Follow-Up Visits During the 10-Month Continuation and Maintenance Phase: Ages 6-12,2017,Medicaid only,Administrative,98.1,37,61.5,55,65.4,,Medicaid rates include FFS and PCCM populations.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Alabama
(32.756889, -86.844516)"
Alabama,Maternal and Perinatal Health,Child Core Set,Frequency of Ongoing Prenatal Care,FPC-CH,Percentage of Women Delivering a Live Birth who had More Than 80 Percent of Expected Prenatal Visits,2017,Medicaid only,NR,NR,34,61.7,43.5,67,NR = State did not report the measure for this population,None,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Alabama
(32.756889, -86.844516)"
Alaska,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year-Old Children at Elevated Caries Risk,SEAL-CH,Percentage at Elevated Risk of Dental Caries (Moderate or High Risk) who Received a Sealant on a Permanent First Molar Tooth: Ages 6-9,2017,Medicaid & CHIP,Administrative,47.6,30,22.9,18,24.9,,Rate includes FFS population. State conducted an internal validation of the data.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Alaska
(63.631126, -151.631889)"
Massachusetts,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Percentage Receiving Three Doses of Human Papillomavirus (HPV) Vaccine by Their 13th Birthday,2017,Medicaid & CHIP,Hybrid,23.0,42,20.8,13.3,24.8,,"Rates include PCCM and managed care populations (5 MCOs), representing 76 percent of the population. Rates exclude FFS population, representing 24 percent of the population. Denominator is the sample size; measure-eligible population is 20,022.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Massachusetts
(42.151077, -71.481104)"
Oklahoma,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months-19 Years,CAP-CH,Percentage with a PCP Visit in the Past Two Years: Ages 12-19 Years,2017,Medicaid & CHIP,Administrative,92.8,48,90.1,86.2,92.9,,Rates include FFS and PCCM populations.,"Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Oklahoma
(35.583449, -97.508297)"
