State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
MT,Montana,08/01/2019,Y,P,N,4504,,N/A,,4504,,4632,,495,,5127,,122452,,265696,,14.8058,145.5505,"(14.8058, 145.5505)",237370,,28326,
OR,Oregon,05/01/2018,Y,U,Y,11459,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,11459,Does Not Include All Non-MAGI Applications,22611,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2067,,24678,Does Not Include All Non-MAGI Determinations Made At Application,417928,,974631,,40.3736,-82.7755,"(40.3736, -82.7755)",848838,,125793,
SC,South Carolina,09/01/2013,N,U,Y,,,,,,,,,,,,,,,889744,,40.5773,-77.264,"(40.5773, -77.264)",,,,
MO,Missouri,06/01/2020,N,P,N,14596,Includes Renewals and/or Redeterminations,N/A,,14596,Includes Renewals and/or Redeterminations,7397,Includes Renewals and/or Redeterminations,449,Includes Renewals and/or Redeterminations,7846,Includes Renewals and/or Redeterminations,575557,,923641,,45.7326,-93.9196,"(45.7326, -93.9196)",882900,,40741,
IN,Indiana,05/01/2018,Y,U,Y,79430,,N/A,,79430,,37127,,3169,,40296,,802476,,1454452,,40.3363,-89.0022,"(40.3363, -89.0022)",1344819,,109633,
OH,Ohio,11/01/2018,Y,U,Y,67290,Includes Renewals and/or Redeterminations,N/A,,67290,Includes Renewals and/or Redeterminations,50497,Includes CHIP; Includes Renewals and/or Redeterminations,2896,,53393,Includes Renewals and/or Redeterminations,1184898,,2678997,,38.4199,-117.1219,"(38.4199, -117.1219)",2465896,,213101,
MN,Minnesota,02/01/2018,Y,P,N,4150,,19223,,23373,,19600,,43,,19643,,525808,,1062278,,43.3504,-84.5603,"(43.3504, -84.5603)",1061005,,1273,
IA,Iowa,07/01/2019,Y,U,Y,15428,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,15428,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1170,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1170,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,339875,,678370,,21.1098,-157.5311,"(21.1098, -157.5311)",601829,,76541,
FL,Florida,07/01/2019,N,P,N,294310,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,294310,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,178349,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,21513,,199862,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2449430,,3657394,,39.3498,-75.5148,"(39.3498, -75.5148)",3420248,,237146,
DC,District of Columbia,07/01/2018,Y,U,Y,2403,Includes SBM data,813,,3216,Includes Renewals and/or Redeterminations,3195,Includes Renewals and/or Redeterminations; Includes CHIP,,,3195,,,,254689,,41.5834,-72.7622,"(41.5834, -72.7622)",239059,,15630,
WA,Washington,07/01/2019,Y,P,N,69136,,66809,,135945,,100128,,1656,,101784,,822214,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1710797,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1643362,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),67435,
KS,Kansas,11/01/2017,N,P,Y,,,N/A,,,,,,,,,,266742,,387500,,39.8647,-86.2604,"(39.8647, -86.2604)",336972,,50528,
WI,Wisconsin,10/01/2018,N,U,Y,26413,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,26413,Does Not Include All Applications for Limited-Benefit Programs,18044,"Count is of Households, Not Individuals",1208,,19252,,484139,,1027307,,37.768,-78.2057,"(37.768, -78.2057)",956685,,70622,
PA,Pennsylvania,09/01/2017,Y,U,Y,84799,Includes Renewals and/or Redeterminations,N/A,,84799,Includes Renewals and/or Redeterminations,48511,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",8973,"Count is of Households, Not Individuals",57484,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",1395702,,2960729,,35.5376,-96.9247,"(35.5376, -96.9247)",2783811,,176918,
ID,Idaho,05/01/2019,Y,P,N,7434,,,,7434,,5408,,375,,5783,,194866,,272552,,42.0046,-93.214,"(42.0046, -93.214)",246706,,25846,
ND,North Dakota,12/01/2018,Y,P,N,2565,,N/A,,2565,,2085,,49,,2134,,43094,,91072,,46.9048,-110.3261,"(46.9048, -110.3261)",88893,,2179,
NV,Nevada,07/01/2018,Y,P,Y,19977,Includes Renewals and/or Redeterminations,N/A,,19977,Includes Renewals and/or Redeterminations,12199,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",44,,12243,,307363,,655533,,40.314,-74.5089,"(40.314, -74.5089)",614533,,41000,
KS,Kansas,04/01/2019,N,P,N,,,N/A,,,,,,,,,,258436,,371638,,39.8647,-86.2604,"(39.8647, -86.2604)",316462,,55176,
AL,Alabama,08/01/2019,N,U,Y,14285,,N/A,,14285,,15599,,2133,,17732,,661510,,925263,,32.799,-86.8073,"(32.799, -86.8073)",751874,,173389,
MS,Mississippi,02/01/2018,N,U,Y,16452,,N/A,,16452,,10119,,378,,10497,,437585,,640771,,38.4623,-92.302,"(38.4623, -92.302)",561953,,78818,
MA,Massachusetts,08/01/2018,Y,P,N,18782,,2230,,21012,,,,,,,,675416,,1590253,,31.1801,-91.8749,"(31.1801, -91.8749)",1411865,,178388,
NV,Nevada,06/01/2019,Y,P,N,19181,Includes Renewals and/or Redeterminations,N/A,,19181,Includes Renewals and/or Redeterminations,11815,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",61,,11876,,312585,,631512,,40.314,-74.5089,"(40.314, -74.5089)",589769,,41743,
MT,Montana,07/01/2018,Y,P,N,2994,,N/A,,2994,,3217,,180,,3397,,128608,,278662,,14.8058,145.5505,"(14.8058, 145.5505)",253539,,25123,
CO,Colorado,03/01/2019,Y,U,Y,22705,,103,,22808,,19553,,421,,19974,,586258,,1312125,,36.17,-119.7462,"(36.17, -119.7462)",1229610,,82515,
SC,South Carolina,07/01/2019,N,P,N,24019,,N/A,,24019,,7614,Does Not Include All Medicaid Determinations Made At Application,152,Does Not Include All CHIP Determinations Made At Application,7766,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,653424,,1037023,,40.5773,-77.264,"(40.5773, -77.264)",946774,,90249,
NM,New Mexico,12/01/2018,Y,P,N,10579,,N/A,,10579,,17859,,1751,,19610,,330359,Includes Limited-Benefit Enrollees,728327,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",691223,Includes Limited-Benefit Enrollees,37104,
MD,Maryland,09/01/2018,Y,P,N,6691,,90889,Includes Renewals and/or Redeterminations,97580,Includes Renewals and/or Redeterminations,27212,Includes Renewals and/or Redeterminations,3759,Includes Renewals and/or Redeterminations,30971,Includes Renewals and/or Redeterminations,611034,,1299510,,42.2373,-71.5314,"(42.2373, -71.5314)",1145676,,153834,
NM,New Mexico,01/01/2018,Y,P,Y,13995,,N/A,,13995,,19247,,1404,,20651,,343408,Includes Limited-Benefit Enrollees,746984,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",708150,Includes Limited-Benefit Enrollees,38834,
OR,Oregon,01/01/2019,Y,P,N,13850,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,13850,Does Not Include All Non-MAGI Applications,26344,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",3300,,29644,Does Not Include All Non-MAGI Determinations Made At Application,410266,,971345,,40.3736,-82.7755,"(40.3736, -82.7755)",846069,,125276,
NM,New Mexico,07/01/2020,Y,P,Y,12220,,N/A,,12220,,12230,,1260,,13490,,339287,Includes Limited-Benefit Enrollees,780781,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",742165,Includes Limited-Benefit Enrollees,38616,
ME,Maine,07/01/2020,Y,P,Y,5951,,N/A,,5951,,7202,,404,,7606,,108744,,235022,,39.0724,-76.7902,"(39.0724, -76.7902)",222547,,12475,
MN,Minnesota,07/01/2018,Y,U,Y,5889,,18362,,24251,,18874,,55,,18929,,541212,,1086267,,43.3504,-84.5603,"(43.3504, -84.5603)",1084950,,1317,
NH,New Hampshire,04/01/2018,Y,U,Y,8585,,N/A,,8585,,5282,,510,,5792,,92397,,187165,,47.5362,-99.793,"(47.5362, -99.793)",172759,,14406,
WV,West Virginia,04/01/2019,Y,U,Y,22021,,N/A,,22021,,12440,,707,,13147,,216884,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),516872,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",483689,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33183,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
ID,Idaho,05/01/2018,Y,P,N,8098,,,,8098,,6724,,607,,7331,,193693,,269909,,42.0046,-93.214,"(42.0046, -93.214)",245506,,24403,
NE,Nebraska,10/01/2019,N,P,N,6114,,N/A,,6114,,6510,,1007,,7517,,161682,,242897,,35.6411,-79.8431,"(35.6411, -79.8431)",209107,,33790,
KS,Kansas,11/01/2019,N,U,Y,,,N/A,,,,,,,,,,260336,,374705,,39.8647,-86.2604,"(39.8647, -86.2604)",317167,,57538,
GA,Georgia,10/01/2019,N,U,Y,46389,,N/A,,46389,,24028,,708,,24736,,1273274,,1847785,,27.8333,-81.717,"(27.8333, -81.717)",1635870,,211915,
HI,Hawaii,02/01/2019,Y,P,N,4600,,N/A,,4600,,5096,,360,,5456,,140819,,331694,,32.9866,-83.6487,"(32.9866, -83.6487)",306164,,25530,
PA,Pennsylvania,06/01/2020,Y,P,N,54313,Includes Renewals and/or Redeterminations,N/A,,54313,Includes Renewals and/or Redeterminations,58910,Includes Renewals and/or Redeterminations,3359,,62269,Includes Renewals and/or Redeterminations,1428142,,3069309,,35.5376,-96.9247,"(35.5376, -96.9247)",2884467,,184842,
ND,North Dakota,09/01/2013,Y,U,Y,,,,,,,,,,,,,,,69980,Data is from July 2013 only.,46.9048,-110.3261,"(46.9048, -110.3261)",,,,
PA,Pennsylvania,07/01/2017,Y,P,N,75826,Includes Renewals and/or Redeterminations,N/A,,75826,Includes Renewals and/or Redeterminations,45641,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",7668,"Count is of Households, Not Individuals",53309,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",1388159,,2942548,,35.5376,-96.9247,"(35.5376, -96.9247)",2766307,,176241,
VT,Vermont,04/01/2020,Y,U,Y,1871,,1376,,3247,Includes Renewals and/or Redeterminations,6485,Includes Renewals and/or Redeterminations,142,,6627,,61747,,157550,,31.106,-97.6475,"(31.106, -97.6475)",152975,,4575,
DE,Delaware,03/01/2020,Y,P,N,4071,,N/A,,4071,,4756,,799,,5555,,104498,,229697,,38.8964,-77.0262,"(38.8964, -77.0262)",217941,,11756,
IL,Illinois,09/01/2018,Y,U,Y,58913,,N/A,,58913,,35161,,12375,,47536,,1391808,,2955094,,44.2394,-114.5103,"(44.2394, -114.5103)",2716660,,238434,
OH,Ohio,09/01/2017,Y,U,Y,51060,Includes Renewals and/or Redeterminations,N/A,,51060,Includes Renewals and/or Redeterminations,48520,Includes CHIP; Includes Renewals and/or Redeterminations,2939,,51459,Includes Renewals and/or Redeterminations,1232743,,2857339,,38.4199,-117.1219,"(38.4199, -117.1219)",2643589,,213750,
FL,Florida,12/01/2019,N,P,N,241234,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,241234,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,145627,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,22977,,168604,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2418906,,3613005,,39.3498,-75.5148,"(39.3498, -75.5148)",3374862,,238143,
KY,Kentucky,01/01/2018,Y,U,Y,10132,,11599,,21731,,18806,,1786,,20592,,565131,,1374082,,38.5111,-96.8005,"(38.5111, -96.8005)",1285407,,88675,
NY,New York,01/01/2018,Y,P,N,,,773857,,773857,,125386,,9554,,134940,,2458154,Includes Retroactive Enrollments,6150670,Includes Retroactive Enrollments,34.8375,-106.2371,"(34.8375, -106.2371)",5619155,Includes Retroactive Enrollments,531515,
IL,Illinois,08/01/2019,Y,U,Y,71866,,N/A,,71866,,22304,,8060,,30364,,1350105,,2840200,,44.2394,-114.5103,"(44.2394, -114.5103)",2572255,,267945,
AZ,Arizona,12/01/2019,Y,P,N,94909,,N/A,,94909,,,,,,,,,,1708073,,14.2417,-170.7197,"(14.2417, -170.7197)",1610623,,97450,
MD,Maryland,06/01/2017,Y,U,Y,8203,,83277,Includes Renewals and/or Redeterminations,91480,Includes Renewals and/or Redeterminations,24087,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",3427,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",27514,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",609109,,1305591,,42.2373,-71.5314,"(42.2373, -71.5314)",1159266,,146325,
ME,Maine,10/01/2017,Y,P,N,1365,,N/A,,1365,,10912,,456,,11368,,111999,,233303,,39.0724,-76.7902,"(39.0724, -76.7902)",223687,,9616,
OK,Oklahoma,06/01/2017,N,U,Y,43977,,N/A,,43977,,35687,,5898,,41585,,528699,,753984,,42.1497,-74.9384,"(42.1497, -74.9384)",637395,,116589,
IA,Iowa,09/01/2017,Y,U,Y,16334,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,16334,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,3086,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,3086,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,325753,,641863,,21.1098,-157.5311,"(21.1098, -157.5311)",578621,,63242,
TN,Tennessee,12/01/2019,N,P,N,17568,,N/A,,17568,,10467,,1671,,12138,,814773,,1436633,,41.6772,-71.5101,"(41.6772, -71.5101)",1327224,,109409,
ND,North Dakota,05/01/2019,Y,U,Y,2243,,N/A,,2243,,2475,,66,,2541,,43111,,92207,,46.9048,-110.3261,"(46.9048, -110.3261)",90121,,2086,
GA,Georgia,04/01/2020,N,U,Y,51949,,N/A,,51949,,47797,,1740,,49537,,1315786,,1895954,,27.8333,-81.717,"(27.8333, -81.717)",1683443,,212511,
MI,Michigan,05/01/2019,Y,U,Y,56894,,N/A,,56894,,52945,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1875,,54820,,941439,Does Not Include All Full-Benefit Child Medicaid enrollees,2318205,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2256923,Does Not Include All Full-Benefit Medicaid enrollees,61282,
NE,Nebraska,06/01/2018,N,P,N,5689,,N/A,,5689,,6726,,952,,7678,,163269,,244969,,35.6411,-79.8431,"(35.6411, -79.8431)",211564,,33405,
CT,Connecticut,12/01/2018,Y,U,Y,5167,Includes Duplicates,21435,Includes Duplicates; Includes Renewals and/or Redeterminations,26602,Includes Duplicates,16834,Includes Renewals and/or Redeterminations,683,Includes Renewals and/or Redeterminations,17517,Includes Renewals and/or Redeterminations,330253,,855943,,39.0646,-105.3272,"(39.0646, -105.3272)",836069,,19874,
WY,Wyoming,09/01/2018,N,U,Y,1438,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1438,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,708,,33,,741,,39767,,59452,,44.0407,-72.7093,"(44.0407, -72.7093)",54838,,4614,
IA,Iowa,05/01/2018,Y,P,N,13472,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,13472,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1328,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1328,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,331427,,658491,,21.1098,-157.5311,"(21.1098, -157.5311)",587547,,70944,
TX,Texas,10/01/2018,N,U,Y,133637,,N/A,,133637,,99824,,17013,,116837,,3435431,,4351367,,33.8191,-80.9066,"(33.8191, -80.9066)",3732837,,618530,
NM,New Mexico,02/01/2019,Y,U,Y,11068,,N/A,,11068,,15844,,1451,,17295,,330068,Includes Limited-Benefit Enrollees,728697,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",691140,Includes Limited-Benefit Enrollees,37557,
IL,Illinois,07/01/2017,Y,P,N,67016,,N/A,,67016,,38361,,11994,,50355,,1417408,,3040025,,44.2394,-114.5103,"(44.2394, -114.5103)",2789217,,250808,
WY,Wyoming,03/01/2018,N,P,N,1702,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1702,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,876,,36,,912,,39687,,59273,,44.0407,-72.7093,"(44.0407, -72.7093)",54559,,4714,
KS,Kansas,03/01/2018,N,P,Y,,,N/A,,,,,,,,,,277377,,396745,,39.8647,-86.2604,"(39.8647, -86.2604)",343546,,53199,
AZ,Arizona,08/01/2017,Y,U,Y,,,N/A,,,,,,,,,,,,1742701,,14.2417,-170.7197,"(14.2417, -170.7197)",1646612,,96089,
DE,Delaware,01/01/2019,Y,P,N,3059,,N/A,,3059,,5078,,701,,5779,,106450,,232614,,38.8964,-77.0262,"(38.8964, -77.0262)",221080,,11534,
SC,South Carolina,03/01/2018,N,U,Y,22982,,N/A,,22982,,6412,Does Not Include All Medicaid Determinations Made At Application,125,Does Not Include All CHIP Determinations Made At Application,6537,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,650358,,1041832,,40.5773,-77.264,"(40.5773, -77.264)",956913,,84919,
CO,Colorado,01/01/2019,Y,P,N,28392,,214,,28606,,24309,,452,,24761,,588425,,1321099,,36.17,-119.7462,"(36.17, -119.7462)",1239246,,81853,
ID,Idaho,06/01/2019,Y,U,Y,7063,,,,7063,,5272,,332,,5604,,196683,,274946,,42.0046,-93.214,"(42.0046, -93.214)",249346,,25600,
CA,California,12/01/2017,Y,P,N,251890,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,251890,,160472,Does Not Include All Medicaid Determinations Made At Application,12901,Does Not Include All CHIP Determinations Made At Application,173373,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,5074298,,12096392,,33.7712,-111.3877,"(33.7712, -111.3877)",10800685,,1295707,
NJ,New Jersey,04/01/2018,Y,U,Y,26661,,N/A,,26661,,14860,Does Not Include All Medicaid Determinations Made At Application,5287,Does Not Include All CHIP Determinations Made At Application,20147,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,854850,,1797425,,41.1289,-98.2883,"(41.1289, -98.2883)",1585243,,212182,
AL,Alabama,11/01/2019,N,P,N,11536,,N/A,,11536,,11792,,1610,,13402,,654506,,922597,,32.799,-86.8073,"(32.799, -86.8073)",752348,,170249,
UT,Utah,01/01/2019,N,U,Y,21298,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,21298,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",35550,Includes CHIP,,,35550,,194392,,288016,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",244485,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,43531,
IN,Indiana,06/01/2018,Y,P,N,78830,,N/A,,78830,,33862,,2706,,36568,,784932,,1437660,,40.3363,-89.0022,"(40.3363, -89.0022)",1330090,,107570,
PA,Pennsylvania,11/01/2018,Y,P,N,88473,Includes Renewals and/or Redeterminations,N/A,,88473,Includes Renewals and/or Redeterminations,61142,Includes Renewals and/or Redeterminations,8883,,70025,Includes Renewals and/or Redeterminations,1387589,,2934869,,35.5376,-96.9247,"(35.5376, -96.9247)",2754609,,180260,
SD,South Dakota,03/01/2019,N,P,N,2397,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2397,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1321,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1321,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",78888,,110982,,18.2766,-66.335,"(18.2766, -66.335)",95058,,15924,
DC,District of Columbia,04/01/2020,Y,U,Y,2265,Includes SBM data,1725,,3990,Includes Renewals and/or Redeterminations,3341,Includes Renewals and/or Redeterminations; Includes CHIP,,,3341,,,,245429,,41.5834,-72.7622,"(41.5834, -72.7622)",227984,,17445,
MO,Missouri,07/01/2018,N,U,Y,19846,,N/A,,19846,,9071,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",,,9071,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",614248,,956346,,45.7326,-93.9196,"(45.7326, -93.9196)",924125,,32221,
OH,Ohio,06/01/2019,Y,U,Y,67504,Includes Renewals and/or Redeterminations,N/A,,67504,Includes Renewals and/or Redeterminations,57223,Includes CHIP; Includes Renewals and/or Redeterminations,2911,,60134,Includes Renewals and/or Redeterminations,1177457,,2647530,,38.4199,-117.1219,"(38.4199, -117.1219)",2448294,,199236,
NH,New Hampshire,08/01/2019,Y,U,Y,8283,,N/A,,8283,,5276,,587,,5863,,89254,,178753,,47.5362,-99.793,"(47.5362, -99.793)",163884,,14869,
ID,Idaho,01/01/2020,Y,U,Y,20404,,,,20404,,21398,,2314,,23712,,173233,,313122,,42.0046,-93.214,"(42.0046, -93.214)",285354,,27768,
OR,Oregon,02/01/2020,Y,U,Y,11210,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,11210,Does Not Include All Non-MAGI Applications,20383,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2737,,23120,Does Not Include All Non-MAGI Determinations Made At Application,416860,,1002190,,40.3736,-82.7755,"(40.3736, -82.7755)",872851,,129339,
MA,Massachusetts,03/01/2020,Y,U,Y,12798,,3977,,16775,,11622,,759,,12381,,669204,,1569853,,31.1801,-91.8749,"(31.1801, -91.8749)",1383851,,186002,
OK,Oklahoma,05/01/2018,N,P,N,43035,,N/A,,43035,,40177,,7933,,48110,,514535,,735895,,42.1497,-74.9384,"(42.1497, -74.9384)",616826,,119069,
NC,North Carolina,05/01/2019,N,P,N,21538,,N/A,,21538,,30746,,3144,,33890,,1180076,,1745341,,32.7673,-89.6812,"(32.7673, -89.6812)",1479350,,265991,
VT,Vermont,10/01/2017,Y,U,Y,3309,,1281,,4590,Includes Renewals and/or Redeterminations,4883,Includes Renewals and/or Redeterminations,132,,5015,,63957,,164121,,31.106,-97.6475,"(31.106, -97.6475)",159454,,4667,
VA,Virginia,10/01/2018,Y,P,N,22016,Includes Renewals and/or Redeterminations,N/A,,22016,Includes Renewals and/or Redeterminations,17750,Includes Renewals and/or Redeterminations,803,Includes Renewals and/or Redeterminations,18553,Includes Renewals and/or Redeterminations,689069,,1035179,,35.7449,-86.7489,"(35.7449, -86.7489)",897260,,137919,
CA,California,08/01/2017,Y,U,Y,180390,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,180390,,164578,Does Not Include All Medicaid Determinations Made At Application,12561,Does Not Include All CHIP Determinations Made At Application,177139,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,5188669,,12310936,,33.7712,-111.3877,"(33.7712, -111.3877)",11010221,,1300715,
MD,Maryland,10/01/2018,Y,U,Y,9338,,102299,Includes Renewals and/or Redeterminations,111637,Includes Renewals and/or Redeterminations,30409,Includes Renewals and/or Redeterminations,3782,Includes Renewals and/or Redeterminations,34191,Includes Renewals and/or Redeterminations,617339,,1311435,,42.2373,-71.5314,"(42.2373, -71.5314)",1157010,,154425,
WY,Wyoming,07/01/2019,N,P,N,1340,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1340,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,744,,43,,787,,35601,,53871,,44.0407,-72.7093,"(44.0407, -72.7093)",49676,,4195,
VA,Virginia,05/01/2019,Y,U,Y,30783,Includes Renewals and/or Redeterminations,N/A,,30783,Includes Renewals and/or Redeterminations,23600,Includes Renewals and/or Redeterminations,724,Includes Renewals and/or Redeterminations,24324,Includes Renewals and/or Redeterminations,729050,,1314268,,35.7449,-86.7489,"(35.7449, -86.7489)",1170077,,144191,
TX,Texas,02/01/2018,N,P,N,96038,,N/A,,96038,,84549,,14874,,99423,,3495642,,4407687,,33.8191,-80.9066,"(33.8191, -80.9066)",3776933,,630754,
NY,New York,04/01/2020,Y,P,N,,,888322,Includes Renewals and/or Redeterminations,888322,Includes Renewals and/or Redeterminations,132202,Includes Renewals and/or Redeterminations,7458,Includes Renewals and/or Redeterminations,139660,Includes Renewals and/or Redeterminations,2408010,Includes Retroactive Enrollments,6104550,Includes Retroactive Enrollments,34.8375,-106.2371,"(34.8375, -106.2371)",5480996,Includes Retroactive Enrollments,623554,
ND,North Dakota,01/01/2020,Y,P,N,2384,,N/A,,2384,,2579,,94,,2673,,42494,,89890,,46.9048,-110.3261,"(46.9048, -110.3261)",87668,,2222,
AZ,Arizona,10/01/2017,Y,P,N,,,N/A,,,,,,,,,,,,1739554,,14.2417,-170.7197,"(14.2417, -170.7197)",1641699,,97855,
AK,Alaska,07/01/2017,Y,P,N,3187,Includes Renewals and/or Redeterminations,N/A,,3187,Includes Renewals and/or Redeterminations,3159,Includes Renewals and/or Redeterminations; Includes CHIP,,,3159,Includes Renewals and/or Redeterminations,89358,,193019,,61.385,-152.2683,"(61.385, -152.2683)",180641,,12378,
